Year,Yield_kg_ha,obs_GDD_day_sum,obs_heat_day_sum,obs_Mean_Temp_mean,obs_Mean_Temp_max,obs_Mean_Temp_min,obs_Precip_mm_sum,obs_Mean_Temp_mean_lag1,obs_Mean_Temp_mean_roll2_mean,obs_GDD_day_sum_lag1,obs_GDD_day_sum_roll2_mean,obs_heat_day_sum_lag1,obs_heat_day_sum_roll2_mean,obs_Precip_mm_sum_lag1,obs_Precip_mm_sum_roll2_mean,Yield_lag1,Year_trend,pred_Ridge_oof
1996,3383.77853718781,1552.1775,7.625,14.99593077738822,26.141250000000003,0.445,341.7225,14.99593077738822,14.99593077738822,1552.1775,1552.1775,7.625,7.625,341.7225,341.7225,3383.77853718781,0,
1997,3091.2222073620046,1585.86125,7.55,15.220245098039218,25.07,0.39625,277.31,14.99593077738822,14.99593077738822,1552.1775,1552.1775,7.625,7.625,341.7225,341.7225,3383.77853718781,1,
1998,3224.60421159974,1636.1174999999998,8.1,15.62362745098039,25.660000000000004,2.0175,330.12,15.220245098039218,15.10808793771372,1585.86125,1569.019375,7.55,7.5875,277.31,309.51625,3091.2222073620046,2,
1999,3000.87607627923,1503.8025,6.9,14.777573529411764,24.75375,2.84375,374.75,15.62362745098039,15.421936274509804,1636.1174999999998,1610.989375,8.1,7.824999999999999,330.12,303.71500000000003,3224.60421159974,3,
2000,3383.77853718781,1454.77,5.25,14.41003267973856,25.3625,1.43875,397.9325,14.777573529411764,15.200600490196075,1503.8025,1569.96,6.9,7.499999999999999,374.75,352.435,3000.87607627923,4,3290.399858056475
2001,2785.217167175275,1636.23375,9.275,15.654232026143792,26.67,2.9275,314.755,14.41003267973856,14.593803104575162,1454.77,1479.28625,5.25,6.075,397.9325,386.34125,3383.77853718781,5,3915.055762102293
2002,2902.4607189799,1555.51875,10.475,14.85859477124183,26.8,-1.3362500000000002,332.6275,15.654232026143792,15.032132352941176,1636.23375,1545.501875,9.275,7.2625,314.755,356.34375,2785.217167175275,6,3160.556443424224
2003,3394.53750547655,1677.0375,17.225,15.887099673202616,27.25,1.29125,268.505,14.85859477124183,15.25641339869281,1555.51875,1595.87625,10.475,9.875,332.6275,323.69125,2902.4607189799,7,2568.500952729153
2004,3676.334867013615,1295.13875,2.825,13.22951797385621,24.05875,-1.625,350.7275,15.887099673202616,15.372847222222225,1677.0375,1616.2781249999998,17.225,13.85,268.505,300.56625,3394.53750547655,8,3526.251493091766
2005,2402.314706266695,1550.00875,8.95,14.980710784313723,26.097500000000004,-1.075,365.62,13.22951797385621,14.558308823529412,1295.13875,1486.088125,2.825,10.025,350.7275,309.61625000000004,3676.334867013615,9,3319.0716803746686
2006,3405.2964737652896,1628.76125,11.65,15.572361111111112,25.02875,1.61375,249.3,14.980710784313723,14.105114379084966,1550.00875,1422.57375,8.95,5.887499999999999,365.62,358.17375000000004,2402.314706266695,10,2796.150145121362
2007,3120.80937015604,1575.93375,9.775,15.24206592277262,26.692500000000003,2.4425,322.295,15.572361111111112,15.276535947712418,1628.76125,1589.385,11.65,10.3,249.3,307.46000000000004,3405.2964737652896,11,3207.2439431556036
2008,3697.852803591095,1464.66625,5.7,14.42780141027328,24.25375,0.2125,201.51,15.24206592277262,15.407213516941866,1575.93375,1602.3475,9.775,10.7125,322.295,285.7975,3120.80937015604,12,3344.4011545009444
2009,3823.1655816122734,1459.56125,4.85,14.379240196078433,24.18375,0.1337499999999999,205.8375,14.42780141027328,14.83493366652295,1464.66625,1520.3,5.7,7.737500000000001,201.51,261.90250000000003,3697.852803591095,13,2958.0833199686294
2010,2987.4273659183045,1541.1925,7.175,14.982181372549018,24.90625,1.75,193.9275,14.379240196078433,14.403520803175857,1459.56125,1462.11375,4.85,5.275,205.8375,203.67375,3823.1655816122734,14,2803.7173125266977
2011,2394.24548005014,1638.23125,13.6,15.619483184002078,26.410000000000004,-0.3725,206.5825,14.982181372549018,14.680710784313725,1541.1925,1500.376875,7.175,6.012499999999999,193.9275,199.8825,2987.4273659183045,15,3011.2902574226882
