Year,Yield_obs,pred_Ridge,pred_RF,pred_Ensemble,pred_meta
1997,3091.2222073620046,,,,
1998,3224.60421159974,,,,
1999,3000.87607627923,,,,
2000,3383.77853718781,2886.881515061026,3089.00994825048,2987.945731655753,3188.5494131321334
2001,2785.217167175275,3091.664893755797,3113.210326264484,3102.437610010141,3197.3471861521652
2002,2902.4607189799,3139.222859260312,3114.911119330384,3127.066989295348,3198.573169672676
2003,3394.53750547655,2827.427660628243,3080.215483006818,2953.82157181753,3185.626477141549
2004,3676.334867013615,3137.590259391,3068.54299374591,3103.066626568455,3188.8757626117686
2005,2402.314706266695,3050.7627173110645,3082.219548376544,3066.4911328438043,3190.136355501217
2006,3405.2964737652896,3059.7476533447907,2911.3100204175003,2985.5288368811453,3154.6673043746423
2007,3120.80937015604,3142.738690853936,3266.2926510506227,3204.5156709522794,3230.1997877188387
2008,3697.852803591095,3238.980549985875,3279.0676732923152,3259.0241116390957,3234.6266933072775
2009,3823.1655816122734,,,,
2010,2987.4273659183045,,,,
2011,2394.24548005014,,,,
